#EXPID	Flag	comments
#Flags: 1=possibly saturated; 2=clouds; 3=other source
553481 expfactor=0.013  seeing=1.355
553482 expfactor=0.110  seeing=1.385
553483 expfactor=0.101  seeing=1.455
553484 expfactor=0.080  seeing=1.465
553486 expfactor=0.019  seeing=1.678
553487 expfactor=0.084  seeing=1.414
553488 expfactor=0.049  seeing=1.559
553489 expfactor=0.024  seeing=1.459
553490 expfactor=0.004  seeing=1.287
553491 expfactor=0.012  seeing=1.307
553492 expfactor=0.006  seeing=1.318
553496 expfactor=0.180  seeing=1.647
553497 expfactor=0.076  seeing=1.831
553498 expfactor=0.054  seeing=1.644
553499 expfactor=0.108  seeing=1.557
553500 expfactor=0.229  seeing=1.455
553757 expfactor=0.256  seeing=1.564
553758 expfactor=0.033  seeing=1.616
553759 expfactor=0.060  seeing=1.404
553760 expfactor=0.068  seeing=1.548
553761 expfactor=0.039  seeing=1.432
553762 expfactor=0.050  seeing=1.444
553763 expfactor=0.096  seeing=1.421
553765 expfactor=0.283  seeing=1.443
553766 expfactor=0.201  seeing=1.519
553767 expfactor=0.300  seeing=1.345
553777 expfactor=0.249  seeing=1.339
553778 expfactor=0.158  seeing=1.235
553779 expfactor=0.203  seeing=1.470
553780 expfactor=0.137  seeing=1.367
553781 expfactor=0.201  seeing=1.617
553782 expfactor=0.118  seeing=1.634
553783 expfactor=0.059  seeing=1.367
553784 expfactor=0.074  seeing=1.340
553785 expfactor=0.101  seeing=1.309
553786 expfactor=0.091  seeing=1.559
553787 expfactor=0.054  seeing=1.592
553788 expfactor=0.001  seeing=1.664
553789 expfactor=0.004  seeing=1.978
553790 expfactor=0.010  seeing=1.422
553791 expfactor=0.009  seeing=1.547
553792 expfactor=0.003  seeing=1.272
553793 expfactor=0.006  seeing=1.527
553794 expfactor=0.044  seeing=1.577
553795 expfactor=0.034  seeing=1.553
553796 expfactor=0.069  seeing=1.421
553797 expfactor=0.058  seeing=1.689
553798 expfactor=0.080  seeing=1.665
553799 expfactor=0.060  seeing=1.604
553800 expfactor=0.081  seeing=1.534
553801 expfactor=0.078  seeing=1.402
553802 expfactor=0.061  seeing=1.287
553803 expfactor=0.059  seeing=1.305
553804 expfactor=0.087  seeing=1.491
553805 expfactor=0.056  seeing=1.612
553806 expfactor=0.157  seeing=1.456
553807 expfactor=0.256  seeing=1.438
553808 expfactor=0.201  seeing=1.440
553809 expfactor=0.105  seeing=1.592
553810 expfactor=0.093  seeing=1.744
553811 expfactor=0.046  seeing=1.787
553812 expfactor=0.090  seeing=1.514
553813 expfactor=0.048  seeing=1.510
553814 expfactor=0.043  seeing=1.353
553815 expfactor=0.049  seeing=1.287
553816 expfactor=0.138  seeing=1.059
553817 expfactor=0.079  seeing=1.175
553818 expfactor=0.095  seeing=1.036
553819 expfactor=0.197  seeing=1.110
553820 expfactor=0.139  seeing=1.279
553821 expfactor=0.129  seeing=1.460
553822 expfactor=0.130  seeing=1.207
553823 expfactor=0.158  seeing=1.206
553824 expfactor=0.156  seeing=1.207
553825 expfactor=0.136  seeing=1.565
553826 expfactor=0.096  seeing=1.557
553827 expfactor=0.161  seeing=1.504
554079 expfactor=0.125  seeing=1.614
554080 expfactor=0.258  seeing=1.506
554106 expfactor=0.685  seeing=2.704
554121 expfactor=0.168  seeing=1.984
554126 expfactor=0.169  seeing=1.480
554147 expfactor=0.086  seeing=1.882
554148 expfactor=0.085  seeing=2.035
554149 expfactor=0.158  seeing=1.731
554284 expfactor=0.287  seeing=1.183
554298 expfactor=0.253  seeing=1.018

557831 expfactor=0.268  seeing=3.100
557832 expfactor=0.168  seeing=3.631

559016  3  depth factor < 0.3, bright sky during twilight
559017  3  depth factor < 0.3, bright sky during twilight

562836 expfactor=0.296  seeing=1.372
562837 expfactor=0.238  seeing=1.567
562852	3	depth factor < 0.2
562855	3	depth factor < 0.2
562856	3	depth factor < 0.2
562857	3	transparency < 0.3, depth factor < 0.2
562872	3	depth factor < 0.2
562873	3	depth factor < 0.2
562874	3	depth factor < 0.2
562875	3	transparency < 0.3, depth factor < 0.2
562876	3	transparency < 0.3, depth factor < 0.2
562877 expfactor=0.260  seeing=1.308
562878	3	depth factor < 0.2
562881 expfactor=0.289  seeing=1.416
562882	3	depth factor < 0.2
562883	3	transparency < 0.3, depth factor < 0.2
562884	3	transparency < 0.3, depth factor < 0.2
562885	3	depth factor < 0.2
562886 expfactor=0.230  seeing=1.519
562887	3	depth factor < 0.2
562888	3	transparency < 0.3, depth factor < 0.2
562889	3	transparency < 0.3, depth factor < 0.2
562890	3	transparency < 0.3, depth factor < 0.2
562891	3	transparency < 0.3, depth factor < 0.2
562892	3	transparency < 0.3, depth factor < 0.2
562893	3	transparency < 0.3, depth factor < 0.2
562894	3	transparency < 0.3, depth factor < 0.2
562895	3	transparency < 0.3, depth factor < 0.2
562896	3	transparency < 0.3, depth factor < 0.2
562897	3	transparency < 0.3, depth factor < 0.2

563016 expfactor=0.029  seeing=1.883
563017 expfactor=0.070  seeing=1.355
563018 expfactor=0.180  seeing=1.432
563019 expfactor=0.122  seeing=1.515
563020 expfactor=0.158  seeing=1.459
563021 expfactor=0.254  seeing=1.570
563028 expfactor=0.239  seeing=1.575
563029 expfactor=0.119  seeing=1.689
563424 expfactor=0.013  seeing=1.829
563425 expfactor=0.046  seeing=0.947
563426 expfactor=0.068  seeing=0.936
563427 expfactor=0.063  seeing=1.101
563428 expfactor=0.084  seeing=1.060
563429 expfactor=0.083  seeing=1.176
563430 expfactor=0.111  seeing=1.128
563431 expfactor=0.092  seeing=1.346
563460	3	telescope moved during image
563628 expfactor=0.288  seeing=0.903
563658	3	transparency < 0.3, depth factor < 0.2
563665	3	depth factor < 0.2
563666	3	transparency < 0.3, depth factor < 0.2
563667	3	transparency < 0.3, depth factor < 0.2
